
央视频道,#genre#
CCTV1综合,http://tvbox6.icu/tv/migu.php?id=cctv1$LR•IPV4•18『线路1』
CCTV1综合,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8$LR•IPV4•18『线路2』
CCTV1综合,http://182.150.23.74:808/hls/1/index.m3u8$LR•IPV4•18『线路3』
CCTV1综合,http://112.27.235.94:8000/hls/1/index.m3u8$LR•IPV4•18『线路4』
CCTV1综合,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8$LR•IPV4•18『线路5』
CCTV1综合,http://112.46.85.60:8009/hls/501/index.m3u8$LR•IPV4•18『线路6』
CCTV1综合,https://iptv.catvod.com/live.php?id=CCTV1&line=4$LR•IPV4•18『线路7』
CCTV1综合,https://iptv.catvod.com/live.php?id=CCTV1&line=6$LR•IPV4•18『线路8』
CCTV1综合,https://iptv.catvod.com/live.php?id=CCTV1&line=14$LR•IPV4•18『线路9』
CCTV1综合,https://iptv.catvod.com/live.php?id=CCTV1&line=16$LR•IPV4•18『线路10』
CCTV1综合,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub$LR•IPV4•18『线路11』
CCTV1综合,http://fm1077.serv00.net/Smart.php?id=cctv1$LR•IPV4•18『线路12』
CCTV1综合,http://tvbox6.icu/tv/migu.php?id=cctv1$LR•IPV4•18『线路13』
CCTV1综合,http://112.27.235.94:8000/hls/1/index.m3u8$LR•IPV4•18『线路14』
CCTV1综合,http://183.11.239.36:808/hls/19/index.m3u8$LR•IPV4•18『线路15』
CCTV1综合,http://123.130.84.106:8154/tsfile/live/0001_1.m3u8$LR•IPV4•18『线路16』
CCTV1综合,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8$LR•IPV4•18『线路17』
CCTV1综合,http://101.66.198.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•18『线路18』
CCTV2财经,http://43.251.226.89:8080/play/2.m3u8$LR•IPV4•21『线路1』
CCTV2财经,http://112.27.235.94:8000/hls/2/index.m3u8$LR•IPV4•21『线路2』
CCTV2财经,http://tvbox6.icu/tv/migu.php?id=cctv2$LR•IPV4•21『线路3』
CCTV2财经,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8$LR•IPV4•21『线路4』
CCTV2财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8$LR•IPV4•21『线路5』
CCTV2财经,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8$LR•IPV4•21『线路6』
CCTV2财经,http://112.46.85.60:8009/hls/502/index.m3u8$LR•IPV4•21『线路7』
CCTV2财经,https://iptv.catvod.com/live.php?id=CCTV2&line=5$LR•IPV4•21『线路8』
CCTV2财经,https://iptv.catvod.com/live.php?id=CCTV2&line=8$LR•IPV4•21『线路9』
CCTV2财经,https://iptv.catvod.com/live.php?id=CCTV2&line=4$LR•IPV4•21『线路10』
CCTV2财经,https://iptv.catvod.com/live.php?id=CCTV2&line=3$LR•IPV4•21『线路11』
CCTV2财经,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009$LR•IPV4•21『线路12』
CCTV2财经,http://fm1077.serv00.net/Smart.php?id=cctv2$LR•IPV4•21『线路13』
CCTV2财经,http://43.251.226.89:8080/play/2.m3u8$LR•IPV4•21『线路14』
CCTV2财经,http://112.27.235.94:8000/hls/2/index.m3u8$LR•IPV4•21『线路15』
CCTV2财经,http://tvbox6.icu/tv/migu.php?id=cctv2$LR•IPV4•21『线路16』
CCTV2财经,http://112.27.235.94:8000/hls/2/index.m3u8$LR•IPV4•21『线路17』
CCTV2财经,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8$LR•IPV4•21『线路18』
CCTV2财经,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8$LR•IPV4•21『线路19』
CCTV2财经,http://123.130.84.106:8154/tsfile/live/0002_1.m3u8$LR•IPV4•21『线路20』
CCTV2财经,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8$LR•IPV4•21『线路21』
CCTV3综艺,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•18『线路1』
CCTV3综艺,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8$LR•IPV4•18『线路2』
CCTV3综艺,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•18『线路3』
CCTV3综艺,http://tvbox6.icu/tv/migu.php?id=cctv3$LR•IPV4•18『线路4』
CCTV3综艺,http://112.27.235.94:8000/hls/3/index.m3u8$LR•IPV4•18『线路5』
CCTV3综艺,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8$LR•IPV4•18『线路6』
CCTV3综艺,http://183.11.239.36:808/hls/91/index.m3u8$LR•IPV4•18『线路7』
CCTV3综艺,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8$LR•IPV4•18『线路8』
CCTV3综艺,http://112.46.85.60:8009/hls/3/index.m3u8$LR•IPV4•18『线路9』
